	Pd1*	Pd2*	Pd3*	Pd4*	Pd4_3&1*	Pd5*	Pd5_4&1*	Pd6_1*	Pd6_2*	Pd6_3*	Pd6_4&2*	Pd6_5&1*	Pd7_1*	Pd7_2*	Pd7_3*	Pd7_4*	Pd7_5&2*	Pd7_6_1&1*	Pd7_6_2&1*	Pd7_6_3&1*	t
589	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447469.8333719289
590	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	447471.08921386366
591	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449607.490373324
592	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449612.14683937316
593	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	451755.5664164106
594	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	451755.9741946772
595	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452162.32609697257
596	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	452164.06993408676
597	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456000.7140569086
598	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	456003.1138122214
599	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466900.7508736658
600	0.9	0.0	0.0	0.0	2.9	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	466906.5637753781
601	0.9	0.0	0.0	0.1	2.8	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	470332.8306325955
